EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageHoursWorked
11,0.2857142857142856,0,1.0,0.0,0.1428571428571428,-0.5,0.20000000000000018,1.0,-0.5,-0.5,0.0,-0.2646656134807793,-1.0,-0.7142857142857142,0.33333333333333326,0.050000000000000044,-0.33333333333333337,0.0,-0.4666666666666667,0.17647058823529416,-0.33333333333333326,-1.0,0.3333333333333335,1.0,0.3333333333333335,-0.3275120440467991
13,0.7619047619047619,0,1.0,0.0,-0.0714285714285714,0.5,-0.6,-1.0,-1.0,0.75,1.0,-0.5230121116377041,-1.0,-0.1428571428571428,-1.0,0.8500000000000001,-0.33333333333333337,0.8,-0.4666666666666667,0.5294117647058822,0.3333333333333335,-1.0,1.0,-0.9999999999999999,0.3333333333333335,0.2321920165175504
14,0.38095238095238093,1,-1.0,0.0,-1.0,-1.0,0.20000000000000018,1.0,-1.0,0.5,0.0,-0.49942074776198,-0.7777777777777778,-0.9999999999999998,0.33333333333333326,-0.5,0.33333333333333326,-0.5,0.19999999999999996,0.05882352941176472,-0.33333333333333326,-1.0,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,-0.7368375774260147
15,-0.523809523809524,0,1.0,0.0,-1.0,0.0,-0.6,1.0,-1.0,0.0,0.0,-0.833280674038968,-0.7777777777777778,-0.5714285714285712,-1.0,-0.75,-0.33333333333333337,-0.75,-1.0,-0.5294117647058824,0.3333333333333335,-1.0,1.0,1.0,-0.33333333333333326,-0.4877838953888505
16,-0.09523809523809534,0,1.0,0.0,-1.0,0.0,-0.6,1.0,-0.5,-1.0,0.0,-0.543233280674039,-0.11111111111111116,-0.9999999999999998,-1.0,-0.6499999999999999,-0.33333333333333337,-0.75,-1.0,-0.8823529411764706,0.3333333333333335,-1.0,0.3333333333333335,1.0,1.0,-0.8098761183757739
17,-0.8571428571428572,0,1.0,0.0,-0.8571428571428571,-0.5,-0.6,1.0,-1.0,-0.5,1.0,-0.6625592417061612,-0.7777777777777778,-0.857142857142857,1.0,-0.85,0.0,-0.85,-0.8666666666666667,-1.0,-0.33333333333333326,-1.0,1.0,0.3333333333333335,1.0,0.9248107364074336
18,-0.09523809523809534,0,-1.0,0.0,-1.0,0.0,0.20000000000000018,1.0,-0.5,0.75,-1.0,-0.6716166403370195,-0.5555555555555556,-0.7142857142857142,-0.33333333333333337,-0.25,-0.33333333333333337,-0.75,-1.0,-0.7647058823529411,0.3333333333333335,-1.0,-0.9999999999999999,1.0,0.3333333333333335,-0.46730901582931805
19,-0.1904761904761907,0,1.0,1.0,-0.5714285714285714,0.5,-0.6,1.0,-1.0,1.0,-1.0,-0.8494997367035282,0.5555555555555554,-0.2857142857142856,-1.0,-0.5,0.6666666666666665,-0.6499999999999999,-0.19999999999999996,-0.7647058823529411,-0.33333333333333326,-1.0,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,0.2346008258774952
20,-0.047619047619047894,0,1.0,0.0,-0.5,0.0,-0.6,-1.0,-1.0,-0.25,-1.0,-0.38272775144813065,-0.7777777777777778,-0.9999999999999998,-0.33333333333333337,-0.6,0.6666666666666665,-0.6,-0.06666666666666665,-0.17647058823529416,0.3333333333333335,-1.0,-0.9999999999999999,-0.9999999999999999,0.3333333333333335,-0.20113558155540234
22,0.5238095238095237,0,1.0,1.0,-0.5,0.5,-0.6,1.0,-1.0,0.5,-1.0,-0.08815165876777242,-0.33333333333333337,0.7142857142857144,-1.0,0.40000000000000013,-0.33333333333333337,-0.5,-0.8666666666666667,-0.2941176470588236,-0.33333333333333326,1.0,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,-0.017463867859600413
23,0.6666666666666665,0,1.0,0.0,-0.2857142857142857,0.5,-0.6,-1.0,-0.5,0.5,0.0,-0.8800421274354924,-0.33333333333333337,-0.9999999999999998,-1.0,0.050000000000000044,-0.33333333333333337,-0.75,-0.8666666666666667,-0.6470588235294118,0.3333333333333335,-1.0,0.3333333333333335,0.3333333333333335,-0.33333333333333326,-0.41139022711631057
25,-0.4761904761904763,0,0.0,0.0,0.0714285714285714,0.5,0.20000000000000018,1.0,-1.0,-0.5,1.0,-0.42032648762506586,-0.7777777777777778,-0.9999999999999998,-0.33333333333333337,-0.5,-0.33333333333333337,-0.5,-1.0,0.05882352941176472,0.3333333333333335,-1.0,-0.33333333333333326,1.0,-0.33333333333333326,0.3578802477632488
26,0.7619047619047619,0,1.0,0.0,-1.0,0.5,0.6000000000000001,-1.0,-1.0,0.5,0.0,-0.39020537124802535,-0.33333333333333337,-0.9999999999999998,-1.0,-0.3999999999999999,-0.33333333333333337,-0.5,-1.0,-0.05882352941176472,0.3333333333333335,-1.0,-0.33333333333333326,1.0,0.3333333333333335,0.7407949070887825
27,-0.6190476190476191,0,0.0,0.0,-0.4285714285714286,0.0,-0.6,-1.0,-1.0,-0.25,0.0,0.609478672985782,-0.7777777777777778,0.5714285714285716,-1.0,-0.75,0.0,-0.75,-0.6,-0.6470588235294118,0.3333333333333335,1.0,-0.9999999999999999,-0.9999999999999999,0.3333333333333335,-0.23210598761183698
28,-0.09523809523809534,0,1.0,1.0,-0.7142857142857143,-1.0,-0.19999999999999996,1.0,-1.0,0.5,1.0,-0.821379673512375,-0.7777777777777778,-0.9999999999999998,-1.0,-0.1499999999999999,-0.33333333333333337,-0.1499999999999999,-0.33333333333333337,-0.17647058823529416,0.3333333333333335,-1.0,1.0,1.0,0.3333333333333335,0.8423090158293194
29,0.2380952380952377,1,0.0,0.0,-1.0,-0.5,0.20000000000000018,1.0,-0.5,0.5,-1.0,-0.018009478672985857,-0.33333333333333337,-0.5714285714285712,-0.33333333333333337,-0.04999999999999993,-0.33333333333333337,-0.95,-1.0,-1.0,-0.33333333333333326,-1.0,1.0,0.3333333333333335,-0.9999999999999999,-0.6379043358568477
30,-0.047619047619047894,0,1.0,1.0,-0.9285714285714286,0.0,-0.19999999999999996,-1.0,-1.0,-0.25,-1.0,-0.637809373354397,1.0,-0.857142857142857,-1.0,-0.5,0.0,-0.9,-0.8666666666666667,-0.7647058823529411,-0.33333333333333326,-1.0,1.0,1.0,0.3333333333333335,0.5397453544390918
31,-0.6190476190476191,1,1.0,0.0,-0.7857142857142857,0.0,0.20000000000000018,1.0,0.0,0.5,-1.0,-0.38441284886782523,-0.5555555555555556,-0.9999999999999998,-1.0,-0.75,0.6666666666666665,-0.85,-1.0,-0.7647058823529411,-0.33333333333333326,-1.0,-0.9999999999999999,-0.33333333333333326,0.3333333333333335,-0.5237439779765998
32,-0.523809523809524,0,1.0,0.0,-0.5714285714285714,0.0,0.6000000000000001,1.0,-1.0,-0.75,1.0,-0.09131121642969986,-0.7777777777777778,-0.7142857142857142,-1.0,-0.75,1.0,-0.75,-1.0,-0.7647058823529411,-0.33333333333333326,-1.0,1.0,1.0,0.3333333333333335,0.6108912594631799
33,0.47619047619047583,0,0.0,0.0,-1.0,-1.0,0.20000000000000018,-1.0,-0.5,0.5,1.0,-0.7280674038967878,1.0,-0.7142857142857142,-1.0,0.10000000000000009,-0.33333333333333337,-0.85,-0.8666666666666667,-0.7647058823529411,0.3333333333333335,-1.0,0.3333333333333335,-0.9999999999999999,0.3333333333333335,-0.5913626978664825
34,-0.14285714285714302,0,1.0,1.0,-0.7142857142857143,0.0,1.0,1.0,0.0,0.75,1.0,-0.5370194839389152,-0.11111111111111116,-0.5714285714285712,-1.0,-0.5,-0.33333333333333337,-0.6,-0.06666666666666665,-0.17647058823529416,0.3333333333333335,-1.0,0.3333333333333335,-0.33333333333333326,0.3333333333333335,-0.6287852718513418
35,-0.38095238095238115,0,0.0,0.0,-0.4285714285714286,0.5,0.20000000000000018,1.0,-1.0,0.75,-1.0,-0.6129541864139021,-0.7777777777777778,-0.2857142857142856,-0.33333333333333337,-0.9,0.33333333333333326,-0.9,-0.7333333333333334,-0.7647058823529411,0.3333333333333335,-1.0,1.0,-0.33333333333333326,-0.33333333333333326,0.3683757742601519
36,-0.6190476190476191,1,1.0,0.0,-0.5,0.0,0.20000000000000018,1.0,-0.5,-0.25,1.0,0.5563981042654029,-0.7777777777777778,-0.857142857142857,0.33333333333333326,-0.6,0.6666666666666665,-0.6,-0.06666666666666665,-0.5294117647058824,0.3333333333333335,-1.0,1.0,1.0,0.3333333333333335,0.5387990364762567
38,0.1428571428571428,0,0.0,1.0,-0.9285714285714286,-0.5,-0.19999999999999996,1.0,0.0,0.25,0.0,-0.7949447077409163,0.11111111111111116,-0.7142857142857142,-1.0,0.15000000000000013,-0.33333333333333337,0.0,-0.4666666666666667,-0.05882352941176472,0.3333333333333335,-1.0,0.3333333333333335,-0.33333333333333326,1.0,-0.5021507226428077
39,-1.0,1,1.0,0.0,-1.0,0.5,-0.6,1.0,-1.0,0.75,1.0,-0.860347551342812,-0.7777777777777778,-0.5714285714285712,0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,-0.34127666896077047
40,-0.1904761904761907,0,1.0,1.0,0.357142857142857,-0.5,-0.6,1.0,-1.0,-0.5,0.0,-0.563454449710374,-1.0,0.1428571428571428,-1.0,-0.3999999999999999,-0.33333333333333337,-0.44999999999999996,-0.19999999999999996,0.05882352941176472,-0.33333333333333326,-1.0,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,-0.28208878183069475
42,0.5714285714285712,0,1.0,0.0,-0.9285714285714286,0.0,-0.6,1.0,-0.5,-0.5,-1.0,-0.5085834649815693,0.11111111111111116,-0.7142857142857142,-1.0,-0.35,-0.33333333333333337,-0.8,-0.8666666666666667,-0.7647058823529411,-0.33333333333333326,-1.0,1.0,-0.33333333333333326,0.3333333333333335,-0.5053337921541634
43,0.09523809523809512,0,1.0,0.0,0.9999999999999998,-1.0,-0.6,1.0,-1.0,-0.5,1.0,-0.855713533438652,-0.7777777777777778,-0.857142857142857,-1.0,0.10000000000000009,1.0,0.10000000000000009,-1.0,-0.5294117647058824,0.3333333333333335,-1.0,1.0,-0.33333333333333326,0.3333333333333335,-0.48614934618031613
44,-1.0,0,1.0,1.0,-0.5714285714285714,0.0,-0.6,1.0,-1.0,0.5,1.0,-0.7047919957872565,-0.7777777777777778,-0.4285714285714284,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,1.0,0.3333333333333335,0.3333333333333335,-0.49870956641431485
45,-0.523809523809524,0,1.0,0.0,-0.4285714285714286,0.0,0.20000000000000018,1.0,-1.0,1.0,1.0,-0.6167456556082149,-1.0,0.7142857142857144,0.33333333333333326,-0.55,-0.33333333333333337,-0.6,-1.0,-0.17647058823529416,-0.33333333333333326,1.0,-0.33333333333333326,-0.9999999999999999,0.3333333333333335,-0.3872161046111491
46,-0.38095238095238115,0,1.0,0.0,-0.5,-1.0,1.0,1.0,-1.0,0.0,0.0,-0.7970510795155346,-0.11111111111111116,-0.857142857142857,-0.33333333333333337,-0.5,-0.33333333333333337,-0.6,-0.06666666666666665,-0.17647058823529416,0.3333333333333335,-1.0,-0.33333333333333326,1.0,-0.33333333333333326,-0.1659497591190635
47,-2.220446049250313e-16,0,1.0,1.0,-0.7142857142857143,0.5,-0.19999999999999996,-1.0,-0.5,-0.75,-1.0,-0.8845708267509216,-1.0,0.2857142857142856,-1.0,-0.04999999999999993,0.0,-0.09999999999999998,-0.6,-0.17647058823529416,0.3333333333333335,1.0,0.3333333333333335,1.0,-0.33333333333333326,-0.290003441156228
48,-0.14285714285714302,0,-1.0,0.0,-0.7142857142857143,0.5,-0.6,1.0,-1.0,0.75,0.0,-0.20284360189573458,0.5555555555555554,0.4285714285714288,-1.0,-0.44999999999999996,0.33333333333333326,-0.55,-1.0,-0.05882352941176472,0.3333333333333335,1.0,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,-0.43805918788712983
49,-0.3333333333333335,0,1.0,1.0,-0.9285714285714286,0.0,-0.19999999999999996,1.0,-0.5,-0.5,0.0,-0.8212743549236441,-0.7777777777777778,0.4285714285714288,-0.33333333333333337,-0.35,0.33333333333333326,-0.35,-0.4666666666666667,-0.05882352941176472,0.3333333333333335,1.0,1.0,0.3333333333333335,-0.33333333333333326,-0.43152099105299335
50,-0.047619047619047894,0,1.0,0.0,-0.7142857142857143,-0.5,-0.6,-1.0,0.0,0.5,0.0,-0.43391258557135337,-0.33333333333333337,0.1428571428571428,0.33333333333333326,-0.04999999999999993,0.33333333333333326,-0.5,-1.0,-0.8823529411764706,-0.33333333333333326,-1.0,-0.9999999999999999,-0.33333333333333326,0.3333333333333335,0.7414831383344804
51,0.9047619047619047,0,-1.0,0.0,-0.9285714285714286,0.0,-0.6,1.0,-0.5,0.0,-1.0,-0.6883622959452343,-0.5555555555555556,-0.7142857142857142,0.33333333333333326,-0.3999999999999999,0.0,-0.75,-0.8666666666666667,-0.7647058823529411,-0.33333333333333326,-1.0,1.0,0.3333333333333335,0.3333333333333335,0.37164487267722013
52,-0.38095238095238115,0,1.0,0.0,0.357142857142857,-1.0,1.0,-1.0,0.0,0.5,0.0,-0.06287519747235382,-1.0,-0.7142857142857142,-0.33333333333333337,-0.7,0.0,-0.75,-1.0,-0.6470588235294118,-0.33333333333333326,-1.0,0.3333333333333335,1.0,0.3333333333333335,-0.45500688231245645
53,-0.38095238095238115,0,1.0,1.0,-0.5714285714285714,0.5,-0.19999999999999996,1.0,-0.5,0.75,0.0,0.2865718799368089,-0.33333333333333337,0.4285714285714288,-0.33333333333333337,-0.55,-0.33333333333333337,-0.9,-0.8666666666666667,-1.0,0.3333333333333335,1.0,-0.9999999999999999,-0.9999999999999999,0.3333333333333335,-0.4439091534755675
54,0.2857142857142856,0,0.0,0.0,-0.8571428571428571,-1.0,0.20000000000000018,-1.0,-1.0,0.75,-1.0,-0.7334386519220643,-0.7777777777777778,-0.7142857142857142,-1.0,0.20000000000000018,1.0,0.20000000000000018,0.19999999999999996,0.2941176470588236,0.3333333333333335,-1.0,-0.9999999999999999,-0.9999999999999999,0.3333333333333335,0.1878011011699936
56,-0.2857142857142858,0,0.0,0.0,-0.4285714285714286,0.0,-0.6,1.0,0.5,0.25,0.0,0.9360716166403369,0.33333333333333326,-0.857142857142857,-0.33333333333333337,-0.3999999999999999,0.0,-0.5,0.06666666666666665,-0.05882352941176472,0.3333333333333335,-1.0,1.0,-0.33333333333333326,0.3333333333333335,0.9111321403991743
57,-2.220446049250313e-16,0,1.0,1.0,-1.0,0.5,-0.6,1.0,-1.0,0.75,0.0,0.9648235913638759,-0.7777777777777778,0.5714285714285716,-0.33333333333333337,0.050000000000000044,1.0,0.050000000000000044,0.46666666666666656,0.17647058823529416,0.3333333333333335,1.0,0.3333333333333335,-0.9999999999999999,0.3333333333333335,-0.22384721266345453
58,0.19047619047619024,0,0.0,0.0,-0.5714285714285714,0.5,0.20000000000000018,1.0,0.5,0.5,1.0,-0.8493944181147973,-1.0,-0.4285714285714284,-1.0,-0.55,-0.33333333333333337,-0.6,-0.8666666666666667,-0.17647058823529416,0.3333333333333335,-1.0,0.3333333333333335,1.0,0.3333333333333335,0.3203716448726772
59,0.47619047619047583,0,1.0,0.0,-1.0,0.0,-0.6,1.0,0.0,0.0,1.0,-0.33596629805160616,0.5555555555555554,0.5714285714285716,-1.0,0.25,-0.33333333333333337,-0.6499999999999999,-1.0,-0.17647058823529416,0.3333333333333335,1.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,-0.18410185822436276
60,0.6190476190476191,1,1.0,0.0,-0.5714285714285714,-1.0,-0.6,-1.0,-0.5,0.5,0.0,-0.6034755134281201,-0.5555555555555556,0.0,-0.33333333333333337,-0.44999999999999996,-0.33333333333333337,-0.6,-0.06666666666666665,-0.17647058823529416,0.3333333333333335,-1.0,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,0.7364074328974537
61,-0.5714285714285716,0,1.0,0.0,0.0,0.5,0.20000000000000018,1.0,0.0,0.5,1.0,-0.6953133228014745,-0.7777777777777778,0.5714285714285716,-1.0,-0.8,-0.33333333333333337,-0.8,-0.8666666666666667,-0.7647058823529411,0.3333333333333335,1.0,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,0.7483654507914661
62,-0.3333333333333335,0,1.0,0.0,-1.0,0.0,-0.6,1.0,0.0,0.5,0.0,-0.8259083728278042,-0.7777777777777778,-0.9999999999999998,-0.33333333333333337,-0.35,1.0,-0.35,0.46666666666666656,0.05882352941176472,1.0,-1.0,0.3333333333333335,-0.33333333333333326,0.3333333333333335,0.6155368203716454
63,-0.5714285714285716,0,1.0,0.0,-0.1428571428571429,-0.5,0.20000000000000018,-1.0,0.5,0.25,1.0,-0.8054765666140073,-0.7777777777777778,-0.857142857142857,0.33333333333333326,-0.75,0.6666666666666665,-0.75,-1.0,-0.5294117647058824,1.0,-1.0,1.0,0.3333333333333335,0.3333333333333335,-0.5597900894700616
64,-0.38095238095238115,0,1.0,1.0,0.6428571428571428,0.0,-0.6,1.0,-0.5,-1.0,-1.0,-0.9924170616113744,-0.11111111111111116,-0.9999999999999998,1.0,-0.35,0.33333333333333326,-0.6499999999999999,-0.8666666666666667,-0.17647058823529416,1.0,-1.0,1.0,1.0,0.3333333333333335,-0.3097900894700616
65,-0.3333333333333335,0,1.0,0.0,-0.5714285714285714,0.0,1.0,1.0,-0.5,-1.0,1.0,-0.8459189046866773,0.5555555555555554,-0.7142857142857142,-1.0,-0.5,-0.33333333333333337,-0.6499999999999999,-1.0,-0.17647058823529416,0.3333333333333335,-1.0,-0.9999999999999999,1.0,-0.33333333333333326,0.7398485891259465
66,-0.523809523809524,1,1.0,0.0,-0.4285714285714286,0.5,0.20000000000000018,1.0,-1.0,0.75,0.0,-0.5087941021590311,0.11111111111111116,-0.5714285714285712,-0.33333333333333337,-0.75,0.33333333333333326,-0.85,-0.7333333333333334,-0.7647058823529411,-0.33333333333333326,-1.0,-0.9999999999999999,1.0,-0.33333333333333326,-0.6773055746730898
67,-0.4285714285714288,0,1.0,0.0,-0.1428571428571429,0.0,-0.6,-1.0,0.5,0.25,0.0,-0.6642443391258557,-0.7777777777777778,-0.7142857142857142,-1.0,-0.44999999999999996,0.0,-0.5,-0.8666666666666667,0.05882352941176472,0.3333333333333335,-1.0,1.0,1.0,0.3333333333333335,-0.6646593255333788
68,-0.38095238095238115,0,0.0,0.0,-0.9285714285714286,-1.0,-0.6,-1.0,-1.0,-0.25,0.0,-0.08330700368615052,-0.7777777777777778,-0.1428571428571428,-1.0,-0.5,0.6666666666666665,-0.5,0.06666666666666665,0.05882352941176472,-0.33333333333333326,-1.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,-0.6756710254645557
69,-2.220446049250313e-16,0,0.0,0.0,0.2857142857142856,0.5,0.20000000000000018,-1.0,-1.0,0.5,0.0,-0.8890995260663508,-0.7777777777777778,-0.7142857142857142,-1.0,0.050000000000000044,0.33333333333333326,0.050000000000000044,0.7333333333333334,-0.6470588235294118,0.3333333333333335,-1.0,0.3333333333333335,1.0,0.3333333333333335,0.280884377150723
70,-2.220446049250313e-16,1,1.0,0.0,-1.0,-1.0,0.20000000000000018,-1.0,-1.0,-0.5,0.0,-0.6550816219062665,-0.11111111111111116,-0.1428571428571428,-0.33333333333333337,-0.3999999999999999,-1.0,-0.95,-1.0,-1.0,0.3333333333333335,-1.0,1.0,0.3333333333333335,-0.33333333333333326,-0.24870956641431485
71,-0.2857142857142858,0,0.0,1.0,-0.7857142857142857,-0.5,-0.6,1.0,0.5,0.5,1.0,-0.6020010531858874,-0.33333333333333337,-0.9999999999999998,-0.33333333333333337,-0.55,-1.0,-0.6499999999999999,-1.0,-0.8823529411764706,0.3333333333333335,-1.0,-0.33333333333333326,1.0,-0.33333333333333326,-0.6665519614590498
72,0.38095238095238093,0,1.0,0.0,-0.7857142857142857,0.0,-0.6,-1.0,-0.5,-1.0,0.0,-0.48425487098472886,-0.11111111111111116,0.7142857142857144,-1.0,0.050000000000000044,0.33333333333333326,-0.85,-0.8666666666666667,-0.8823529411764706,1.0,1.0,1.0,0.3333333333333335,0.3333333333333335,-0.6137302133516858
73,0.19047619047619024,0,0.0,0.0,-0.0714285714285714,0.0,0.20000000000000018,-1.0,1.0,0.25,-1.0,-0.6969984202211691,-0.7777777777777778,-0.1428571428571428,0.33333333333333326,-0.55,-0.33333333333333337,-0.55,-1.0,-1.0,0.3333333333333335,-1.0,0.3333333333333335,0.3333333333333335,1.0,0.3253613214039923
75,0.714285714285714,0,0.0,0.0,-1.0,0.5,-0.6,1.0,-0.5,0.5,1.0,-0.7973670352817273,-0.33333333333333337,-0.857142857142857,0.33333333333333326,0.0,-0.33333333333333337,-0.8,-1.0,-0.6470588235294118,0.3333333333333335,-1.0,1.0,0.3333333333333335,-0.33333333333333326,-0.3857536132140398
76,0.19047619047619024,0,1.0,0.0,-0.5714285714285714,-0.5,-0.6,-1.0,-0.5,-0.25,0.0,-0.42169562927856763,0.7777777777777777,0.7142857142857144,-1.0,-0.5,0.0,-0.95,-1.0,-1.0,0.3333333333333335,1.0,0.3333333333333335,-0.9999999999999999,-0.33333333333333326,-0.21163110805230545
77,0.2857142857142856,0,1.0,1.0,-0.8571428571428571,-1.0,-0.19999999999999996,-1.0,-1.0,0.75,0.0,0.7024749868351765,1.0,-0.5714285714285712,-0.33333333333333337,-0.3999999999999999,1.0,-0.5,0.19999999999999996,-0.05882352941176472,0.3333333333333335,-1.0,1.0,1.0,0.3333333333333335,0.6067618719889891
78,0.04761904761904745,0,1.0,0.0,-0.9285714285714286,0.5,0.6000000000000001,1.0,0.5,0.5,0.0,-0.5761979989468141,-0.5555555555555556,-0.5714285714285712,0.33333333333333326,-0.7,1.0,-0.8,-1.0,-0.7647058823529411,0.3333333333333335,-1.0,-0.33333333333333326,1.0,-0.33333333333333326,0.7486235375086032
79,-0.4761904761904763,1,1.0,0.0,0.9999999999999998,0.0,0.20000000000000018,-1.0,-1.0,0.5,0.0,-0.8632964718272775,-0.7777777777777778,-0.7142857142857142,-0.33333333333333337,-0.6499999999999999,-1.0,-0.6499999999999999,-1.0,-0.17647058823529416,0.3333333333333335,-1.0,-0.33333333333333326,-0.9999999999999999,-0.33333333333333326,-0.38532346868547807
80,-0.4761904761904763,0,1.0,-1.0,-0.5,0.0,0.20000000000000018,1.0,0.0,1.0,1.0,-0.8338072669826224,-1.0,0.5714285714285716,0.33333333333333326,-0.8,0.0,-0.85,-0.7333333333333334,-0.7647058823529411,0.3333333333333335,1.0,-0.33333333333333326,1.0,0.3333333333333335,-0.255505849965588
81,-0.4285714285714288,0,1.0,0.0,-0.3571428571428572,0.0,-0.6,1.0,-0.5,0.5,-1.0,-0.5262769878883623,-0.7777777777777778,-0.857142857142857,0.33333333333333326,-0.5,-0.33333333333333337,-0.5,-0.8666666666666667,-0.7647058823529411,-0.33333333333333326,-1.0,1.0,0.3333333333333335,0.3333333333333335,-0.6228492773571916
82,-0.5714285714285716,0,1.0,0.0,-0.2857142857142857,-0.5,0.20000000000000018,1.0,-1.0,-0.25,0.0,-0.6436018957345973,-0.7777777777777778,0.0,-0.33333333333333337,-0.6,-0.33333333333333337,-0.6,-1.0,-0.17647058823529416,-0.33333333333333326,-1.0,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,-0.7870784583620094
